Time,ENSO val
Jan-15,0.5
Feb-15,0.5
Mar-15,0.5
Apr-15,0.7
May-15,0.9
Jun-15,1.2
Jul-15,1.5
Aug-15,1.9
Sep-15,2.2
Oct-15,2.4
Nov-15,2.6
Dec-15,2.6
Jan-16,2.5
Feb-16,2.1
Mar-16,1.6
Apr-16,0.9
May-16,0.4
Jun-16,-0.1
Jul-16,-0.4
Aug-16,-0.5
Sep-16,-0.6
Oct-16,-0.7
Nov-16,-0.7
Dec-16,-0.6
Jan-17,-0.3
Feb-17,-0.2
Mar-17,0.1
Apr-17,0.2
May-17,0.3
Jun-17,0.3
Jul-17,0.1
Aug-17,-0.1
Sep-17,-0.4
Oct-17,-0.7
Nov-17,-0.8
Dec-17,-1
Jan-18,-0.9
Feb-18,-0.9
Mar-18,-0.7
Apr-18,-0.5
May-18,-0.2
Jun-18,0
Jul-18,0.1
Aug-18,0.2
Sep-18,0.5
Oct-18,0.8
Nov-18,0.9
Dec-18,0.8
Jan-19,0.7
Feb-19,0.7
Mar-19,0.7
Apr-19,0.7
May-19,0.5
Jun-19,0.5
Jul-19,0.3
Aug-19,0.1
Sep-19,0.2
Oct-19,0.3
Nov-19,0.5
Dec-19,0.5
Jan-20,0.5
Feb-20,0.5
Mar-20,0.4
Apr-20,0.2
May-20,-0.1
Jun-20,-0.3
Jul-20,-0.4
Aug-20,-0.6
Sep-20,-0.9
Oct-20,-1.2
Nov-20,-1.3
Dec-20,-1.2
Jan-21,-1
Feb-21,-0.9
Mar-21,-0.8
Apr-21,-0.7
May-21,-0.5
Jun-21,-0.4
Jul-21,-0.4
Aug-21,-0.5
Sep-21,-0.7
Oct-21,-0.8
Nov-21,-1
Dec-21,-1
Jan-22,-1
Feb-22,-0.9
Mar-22,-1
Apr-22,-1.1
May-22,-1
Jun-22,-0.9
Jul-22,-0.8
Aug-22,-0.9
Sep-22,-1
Oct-22,-1
Nov-22,-0.9
Dec-22,-0.8
Jan-23,-0.7
Feb-23,-0.4
Mar-23,-0.1
Apr-23,0.1
